11:37:25 [INFO] Opening target process: csgo.exe
11:37:25 [INFO] Starting signature scanning: 57 items
11:37:25 [INFO] Found signature: dwClientState => 0x58EFE4
11:37:25 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
11:37:25 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
11:37:25 [INFO] Found signature: dwClientState_Map => 0x28C
11:37:25 [INFO] Found signature: dwClientState_MapDirectory => 0x188
11:37:25 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
11:37:25 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
11:37:25 [INFO] Found signature: dwClientState_State => 0x108
11:37:25 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
11:37:25 [INFO] Found signature: clientstate_delta_ticks => 0x174
11:37:25 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
11:37:25 [INFO] Found signature: clientstate_choked_commands => 0x4D30
11:37:25 [INFO] Found signature: clientstate_net_channel => 0x9C
11:37:25 [INFO] Found signature: dwEntityList => 0x4DA2E14
11:37:25 [INFO] Found signature: dwForceAttack => 0x31D43A4
11:37:25 [INFO] Found signature: dwForceAttack2 => 0x31D43B0
11:37:25 [INFO] Found signature: dwForceBackward => 0x31D435C
11:37:25 [INFO] Found signature: dwForceForward => 0x31D4368
11:37:25 [INFO] Found signature: dwForceJump => 0x524CD74
11:37:25 [INFO] Found signature: dwForceLeft => 0x31D4380
11:37:25 [INFO] Found signature: dwForceRight => 0x31D4374
11:37:25 [INFO] Found signature: dwGameDir => 0x62D7F8
11:37:25 [INFO] Found signature: dwGameRulesProxy => 0x52C005C
11:37:25 [INFO] Found signature: dwGetAllClasses => 0xDB2D7C
11:37:25 [INFO] Found signature: dwGlobalVars => 0x58ECE8
11:37:25 [INFO] Found signature: dwGlowObjectManager => 0x52EB3F8
11:37:25 [INFO] Found signature: dwInput => 0x51F43F8
11:37:25 [INFO] Found signature: dwInterfaceLinkList => 0x945994
11:37:25 [INFO] Found signature: dwLocalPlayer => 0xD8B2BC
11:37:25 [INFO] Found signature: dwMouseEnable => 0xD90E60
11:37:25 [INFO] Found signature: dwMouseEnablePtr => 0xD90E30
11:37:25 [INFO] Found signature: dwPlayerResource => 0x31D26D0
11:37:25 [INFO] Found signature: dwRadarBase => 0x51D7B8C
11:37:25 [INFO] Found signature: dwSensitivity => 0xD90CFC
11:37:25 [INFO] Found signature: dwSensitivityPtr => 0xD90CD0
11:37:25 [INFO] Found signature: dwSetClanTag => 0x8A1A0
11:37:25 [INFO] Found signature: dwViewMatrix => 0x4D94714
11:37:25 [INFO] Found signature: dwWeaponTable => 0x51F4EB8
11:37:25 [INFO] Found signature: dwWeaponTableIndex => 0x325C
11:37:25 [INFO] Found signature: dwYawPtr => 0xD90AC0
11:37:25 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD95D60
11:37:25 [INFO] Found signature: dwbSendPackets => 0xD73CA
11:37:25 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
11:37:25 [INFO] Found signature: m_pStudioHdr => 0x294C
11:37:25 [INFO] Found signature: m_yawClassPtr => 0xD90AC0
11:37:25 [INFO] Found signature: m_pitchClassPtr => 0x51D7E28
11:37:25 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
